"T(s)","Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
0.002,           2, 2.40340796e+00, 6.07581770e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.86579164e-01, -3.51688307e-02, 2.47876756e+00, 0.00000000e+00, 3.95569466e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.39449887e+00, -2.27466752e+00, -1.93276720e+00, 1.08327217e+00, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0051115179
0.003,           3, 1.07792246e+00, 2.14716460e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -6.87963328e-02, -7.15866882e-02, 1.09676585e+00, 0.00000000e+00, 5.02021345e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.57150219e+00, -2.61219600e+00, -2.31337535e+00, 9.16222701e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0050107332
0.004,           4, 1.88256318e-01, -3.09610781e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.52425911e-01, -7.86304255e-02, 1.73828323e-01, 0.00000000e+00, -6.08041870e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.92599284e+00, -3.04048637e+00, -3.25039146e+00, 5.66623623e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0051221594
0.005,           5, -1.10402516e-01, -1.02135509e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.74889272e-01, -7.00810521e-02, -1.33075256e-01, 0.00000000e+00, 1.08094156e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.37507886e+00, -3.35709539e+00, -2.61382121e+00, 8.39903024e-02, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0050455145
0.006,           6, 1.26305618e-01, -2.61083463e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.82799506e-01, -5.79090254e-02, 1.15244521e-01, 0.00000000e+00, -4.83774868e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.08998272e+00, -3.28615126e+00, -2.65317000e+00, 3.91747272e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0050988190
0.007,           7, 5.92434602e-01, 1.08063647e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.61687203e-02, -4.89518910e-02, 6.00216813e-01, 0.00000000e+00, 5.48227477e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.22186747e+00, -3.69874572e+00, -3.28698460e+00, 2.57642532e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0050391370
0.008,           8, 8.37564412e-01, 1.72499533e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.85777302e-03, -5.01558676e-02, 8.53671261e-01, 0.00000000e+00, 4.85545902e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.07240430e+00, -3.27981606e+00, -2.81303052e+00, 3.95918141e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0050639223
