"T(s)","Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
0.002,           2, 7.96561961e-01, 1.64487862e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.43158578e-02, -4.72823318e-02, 8.11992362e-01, 0.00000000e+00, 4.84267927e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.93220289e+00, -2.89580133e+00, -2.70153795e+00, 6.62406841e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0051255258
0.003,           3, 7.36680201e-03, -6.78947874e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.70296196e-01, -6.74879973e-02, -1.04566797e-02, 0.00000000e+00, -1.08503205e-01, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.71925412e+00, -2.92900881e+00, -2.78818145e+00, 7.77001465e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0050294138
0.004,           4, 2.31180495e-02, -5.93942274e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.29644071e-01, -6.33538096e-02, 6.95796386e-03, 0.00000000e+00, -3.89230579e-01, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.95140718e+00, -3.27611846e+00, -3.08957367e+00, 4.93874235e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0050469971
0.005,           5, 2.75420670e-01, 1.73851697e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.36167312e-01, -5.44913305e-02, 2.70535551e-01, 0.00000000e+00, 1.58422768e+01, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.60045924e+00, -3.34640350e+00, -3.01732720e+00, -9.42592764e-02, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0051183693
0.006,           6, 4.70607244e-01, 7.62267709e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.02980965e-02, -4.81727108e-02, 4.74300631e-01, 0.00000000e+00, 6.17377909e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.15630952e+00, -3.32522802e+00, -3.02963775e+00, 3.36782497e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0051082451
0.007,           7, 5.44133335e-01, 9.97421875e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.40228074e-02, -4.44885153e-02, 5.51407619e-01, 0.00000000e+00, 5.45539805e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.98655065e+00, -3.31641014e+00, -2.99703834e+00, 4.78202205e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0050899674
0.008,           8, 5.34976187e-01, 1.00336611e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.19527653e-02, -4.15443023e-02, 5.42716341e-01, 0.00000000e+00, 5.33181441e+00, 1.50000000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.93511744e+00, -3.22026280e+00, -2.84961245e+00, 5.23037820e-01, 0.00000000e+00, 0.0000000000, 5.0000000000, 0.0050179556
